text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطا في بطنه وبطن عبودي,1,0,0,0,0,0,0,1,0,0,0
اعلان مبهج جداا بس ليه لميس,0,0,0,0,1,1,1,0,0,1,0
❗ في مصر احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل 🐸✋ ❕ يشعر بالاستياء,1,0,1,0,0,0,0,1,0,0,0
الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب,0,0,0,0,1,1,1,0,0,0,0
ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتي انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفي تماما,0,0,0,0,0,0,1,0,0,0,1
واحده بعربيه عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعده مذعوره و بتتاسف و تقول سرحت سيبتها و مشيت 😑,1,0,0,0,0,0,0,0,0,0,0
لحظه صبر في لحظه غضب تمنع الف لحظه ندم,1,0,0,0,0,0,1,0,0,0,1
يشبه شي كنت استخدمه المهم انبسطي وقضي اوقات ممتعه انا انبسطت معاك في سناباتك شكرًا💙,0,0,0,0,1,1,0,0,0,0,0
ادعس سعاده المستشار علي رقاب الجحوش قبحهم,1,0,0,0,0,0,0,0,0,0,1
 بحب ضحكتك جدا والله وانتي عسل ودمك خفيف جدا مبسوط اني عرفتك وبعزك جدا والله يعني وبرضه محدش هيكتبلك رسايل علي صراحه دادادا 😂 ❤️❤️❤️❤️,0,0,0,0,1,1,0,0,0,0,1
المغرب ماهو فاضي يفتح جبهه خصوصا ان الريف يغلي عليه غليان فتصور تغطي اخبارها الجزيره فقط تغطيه,1,0,0,0,0,0,0,1,0,0,0
ياخي ده انت بتتعذب و انت بتتكلم الله يحرقك يا كابتن متحت و موت بغيظك 💅🏻,1,0,0,0,0,0,0,0,0,0,0
ابي مساعده الي يكدر يساعدني ربي يجعلها بميزان حسناتكم اقسم بالله محتاجه مساعده,0,1,0,0,0,0,0,0,1,0,0
عند سقوطه لا يعدم و انما يقتاد الي عنبر الخطيرين في مستشفي الامراض العقليه و منه تسقط كل توقيعاته و لا يعترف او يعتد بها طالما هو مجنون,1,0,1,0,0,0,0,0,0,0,0
بيض الله وجهك والله ماقصرت وواصل الي الامام ماعليك من الاعلام المعادي اتمني ابعاد كل لاعب يتمرد علي النادي مشجع نصراوي سنه,0,0,0,0,1,1,1,0,0,0,1
عيد سعيد جميعا كل سنه وانتو طيبين يارب اتمني لكم عيد مليء بالافراح مع اللي تحبوهم ولا مانع من العيديات والشوكلاتات والمفاجات 😍 🎈 🎁,0,0,0,0,1,1,1,0,0,0,0
تخيل نفسك هزيل الجسد مرعب الهيئه خالي من التعابير نظره الخوف والياس تشرح حالك حاول ان تحفظ هذه اللحظه وكل وقت تري نازح تذكرها وساعده,0,0,0,1,0,0,0,0,1,0,0
لا ازاي يا حبيبي نام و ارتاح 😞 😠,1,0,1,0,0,0,0,0,1,0,0
 ﴿ وما كان الله معذبهم وهم يستغفرون ﴾ امان 💭 💘 ,0,0,0,0,1,0,1,0,0,0,1
بهجه امل 💕 ٩٩لماتنزل درجه الماده ماقبل الاخيره 😍😍😍😍😍ياربي ايش اسوي اطير يعني ولا انقز والله ايش بالضبط صارقلبي بستان شكرايارب لانك معايا😍💕,0,0,0,0,1,1,1,0,0,0,0
الانا خايف منو وبقرض في اضافري من التوتر انو البيتكوين يبقي بعد شويه من متطلبات الشيله والله الا نجعر,0,0,0,1,0,0,0,1,0,0,0
البشير يتطاول علي مصر يا صبر ايوب,1,0,0,0,0,0,0,0,0,0,0
شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمه,0,0,0,0,1,1,0,0,0,0,1
زي انهارده من سنه كنت قلقان و متوتر و حاسس بشعور طلاب الثانويه العامه دلوقتي فا يارب اصلح حالهم و اكرمهم 💔 ثانويه عامه,0,1,0,1,0,0,1,0,0,0,0
عنجد انت شخص كلمه حب قليله عليك وكلمه طيب كمان قليله انت مو بس فرحه رمضان انت فرحه كل العالم 😍 ❤ تركا علينا,0,0,0,0,1,1,0,0,0,0,0
ذكرني فيني باول برزنتشين ارتجاف وهوف مو طبيعي😂😂😂,0,0,0,1,1,0,0,0,0,0,0
انتو حتي عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب,1,0,1,0,0,0,0,1,0,0,0
اليوم راح نبلش بالمشروع عند اشاره القرين ❤️😍 التوزيع راح يكون وجبه افطار صائم وهيا عباره عن تمر لبنه ماي لبن ابتسم تكفي,0,0,0,0,1,1,1,0,0,0,0
اهمال المدارس الثانويه في تاخير الملفات يعني عيب والله يكفي انو ذي الفتره كلها اختبارات تحصيلي نهائي قدرات💔💔,1,0,0,0,0,0,0,0,1,0,0
يا باغي الخير اقبل فرحهم ب كسوه العيد كن سببا لابتسامه يتيم او محتاج,0,0,0,0,1,1,1,0,0,0,0
الله لاسامحك لادن يا ولا اخره قصدك من كتب كتب خافي الله لما تقولي هاذا الكلام لجميع اليمنيين,1,0,1,0,0,0,0,0,0,0,0
وقع فمات القصه حزينه,0,0,0,0,0,0,0,0,1,0,0
مااصلح للاستغلال ابدا لاني علي رغم الضعف اللي تشوفه فيني اقدر استبدله بخبث فالله يرضي عليك ابعد وانت طيب,1,0,0,0,0,0,0,0,1,0,0
 اقل ما فيه انه يذل يهين يسقط الكرامه الواحد وش ينتظر خطوره اكثر من انه تنهان كرامته و ينذل,1,0,0,0,0,0,0,0,1,0,0
✨ تقبل الله منا ومنكم ✨ وعيدكم بهجه لا تغادركم ابدا,0,0,0,0,1,1,1,0,0,0,0
تعب حزن ضيق وجع ارهااق مختنق صدماات,1,0,0,0,0,0,0,1,1,0,0
اهم فيه شعلله لو علي خفيف 😂 اصلاً الشعلله الزايده ذي مو عاجبتني سببت لي توتر اخاف يفوتني شي,0,0,0,1,0,0,0,1,0,0,0
طروب فنانه من لبنان صوت ايجابي وبيحض علي الفرح وكذا ما بعرف شو ذكرني فيا علي كل حال صباحو يا جماعه 🤗,0,0,0,0,1,1,1,0,0,0,0
والله بروج انتي من يوم ما اشوفك ابتسم لا شعوريا وجهك يجيب الانشكاح والتفاؤل ماشاءالله 😍 😂 💗,0,0,0,0,1,1,1,0,0,0,0
اللهم اني اعوذ بك من الهم و الحزن واعوذ بك من العجز و الكسل واعوذ بك من الجبن و البخل واعوذ بك من غلبه الدين وقهر الرجال,0,1,0,0,0,0,1,0,0,0,0
عيدكم مبارك وسعيد نبتهج بالعيد وان كان في القلب حبيب بعيد او واقع المه يزيد فلن يسرق منا سعاده العيد السعيد —,0,0,0,0,1,1,1,0,0,0,0
ايه لا لا لا😉😉 الفرح حيبوظ علي وحده ماتت ولا ايه😂😂🙊🙉🙈🙈😂😂 اكرم حسني ❤ الحب خفه دم 🙈🙉💚💚😂 ريح المدام,0,0,0,0,1,1,0,1,0,0,0
عندما غضب المصريون غضبه مضريه لفكره تخصيص مستشفي جابر للكويتيين لم ننفعل بهذا الشكل تطاول الوافدين علي صفاء الهاشم,1,0,1,0,0,0,0,0,0,0,0
بس ابكي واكون ضعيفه ومستسلمه وساعات يجيني خفقان قلب وانهار اهلي شكّو انه صرع,1,0,0,1,0,0,0,0,1,0,0
كنت متحمس لحلقه اليوم ومتحمس ايضا بمشاركه حسين عبدالرضا لاكن انصدمت فعلا بان القلب السعودي حسود يكره الحب نكدي ملقوف 👎 🏼 سيلفي ٣,1,0,1,0,0,0,0,0,1,0,0
ولكنني قلق دوما حيال الامور التي لم تحدث بعد تلك الامور المنتظره 💙 ღميرووღ,0,1,0,1,0,0,0,0,0,0,0
خايف امسح اي ورق من علي الموبيل او اعمل لحد م اشوف هعدي ف ايه وهشيل ايه 😁 مع اني مكنتش بفتحهم اصلا غير ليله الامتحان 😂😂😂,0,1,0,1,0,0,0,0,0,0,0
مشاعري تشكو الغياب وتقيم الحداد كلما تذكرتك يامي خيم الحزن علي قلبي وكان غيمه سوداء تصب مطرها من دموعي اه ياوجع الرحيل,0,0,0,0,0,0,0,0,1,0,0
بخاطري ودي اقول ومع كل غياب يسقط منا شيء اما قطعه ثقه او ربما خيبه امل,0,0,0,0,0,0,0,1,1,0,0
اليسا فناناتي المفضله من البوم بدي دوب 😘 و ائل كفوري و كاظم الساهر لانو يغني لنزار قباني و الباقي مود اجنبي 👻,0,0,0,0,1,1,0,0,0,0,0
واصلا فلسفه زايده 🙂 وش دخلك اصلا اذا انا حزينه او لا جاي تقيم حزني مثلا,1,0,1,0,0,0,0,0,0,0,0
مابعرفش اسيطر علي انفعالي الطفولي ودي حاجه دايما بتسببلي احراج والله 😞,1,0,0,0,0,0,0,0,1,0,0
 تونايت يلي وجهك يعلمني معني الفرح يحسسني ان الحياه بكبرها ضحكه ثغر,0,0,0,0,1,1,1,0,0,0,0
كل هذاولا سال عن السبب مع ان ممكن يكون سبب تافه اودلع بنات علي قولتهم كان كل همه من اللي نزل دموعي كانت ردت فعله بس يبي ينتقم من اللي زعلني,1,0,0,0,0,0,0,0,1,0,0
ايش يبغون الاتراك مسوين انقلاب وقلق,1,0,0,0,0,0,0,0,0,0,0
اول مره يقعد مع خطيبته من الارتباك سالها اخوك الكبير احمد شنو اسمه قالت اي واحد فيهم 😂 واضح فيه توافق فكري الله يوفقهم😂,0,0,0,0,1,0,0,0,0,1,0
بهجه امل ٨٩امل لما اتكلم معاك احس براحه نفسيه و ما نفسي اوقف امل انت قاعده توريني الحياه من جهه ثانيه و تفتح لي افاق 💕💛🍭,0,0,0,0,1,1,1,0,0,0,0
ربي ادخل شهر رمضان علينا وانت راضي عنا و اجعله شهر تتبدل فيه ذنوبنا الي حسنات وهمومنا الي افراح واح منا الي واقع,0,0,0,0,1,1,1,0,0,0,0
السلام عليكم صباح الخير سعاده الدكتور عبدالله اشكركم علي جهودكم لتوعيتنا واهتمامكم فينا كابناكم فرحتي بنجاحي,0,0,0,0,1,1,0,0,0,0,0
تتوقعون وش بيصير الاحد 😎😂 دايم يبهرنا سرور بااشياءه فااباذن الله شي جميل سنابات سرور الروقي,0,1,0,0,1,1,1,0,0,0,0
ثلاث نقاط مهمه بالنسبه لاي شخص طلع يلي في قلبك مع شريك حياتك استمتع بحنان اهلك اصنع الابتسامه لاصدقائك☺ انس 💙,0,0,0,0,0,1,1,0,0,0,0
يوم اسود في تاريخ مصر احساس بالمهانه غير سبوق نواب عار هيدخلوا التاريخ من اقذر ابوابه حسبنا الله و نعم الوكيل تيران وصنافر مصريه,1,0,1,0,0,0,0,1,1,0,0
مفيش حاجه مبهجه انهارده غير اعلان ❤ 😂😍❤,0,0,0,0,1,1,0,0,1,0,0
واعشقُ الصبحَ اذا تسري نسائمهُ تعيدُ في كل روحٍ بسمه الاملِ لنا مع الصبحُ امالٌ نرجيها ونسالُ اللهِ فيهِ صالحَ العملِ صباح الخير💭💜,0,0,0,0,1,1,1,0,0,0,0
ترحيل مهند الفلسطيني مطلبنا بصراحه في تساهل مع الوافدين كم من اجنبي مجرم تمت محاكمته وسجنه ثم يرحل ويسمح له بالعوده الي بلدنا,1,0,1,0,0,0,0,1,1,0,0
والدي استودعتك الله من كل شر لقد قلقت عليك كثيرا هاهي الساعه السابعه وخمسه واربعون دقيقه وانت لم تات بعد من صلاه الفجر حفظك الله,0,1,0,1,0,1,1,0,0,0,0
طب انا اقسم بالله بسمع اغنيه راجعين جسمي بيقشعر حلاوه اول حلقه وانشكاح اول حلقه بكل مافيها من احاسيس متلخبطه 😍 😍,0,0,0,0,1,1,1,0,0,0,0
الشوق غصه وارتجافه واختناق ما لي معه حيله ولا لي فيه حيل ,0,1,0,0,0,1,0,0,1,0,0
سعيد 🙈 😻 ربنا يسعدك دايما بالخير 🙋 ❤ وينور قلبك بالفرح والسعاده يارب دايما 💕 🍫,0,0,0,0,1,0,0,0,0,0,0
وابدا افتكر كل حاجه حلوه من تاني كده كميه التشويق اللي في الموضوع ده كبيره جداً واتمني يكون في حد عنده نفس الرغبه دي عشان ماحسش نفسي عبيط,0,1,0,0,1,1,1,0,0,0,0
ابتهاج اجتماع الحبايب والله يزيد السعاده سعاده❤️,0,0,0,0,1,1,1,0,0,0,0
اما خوفكم من الموت فهو اشبه بارتجاف الراعي الواقف امام الملك عندما يرفع يمينه فوق راسه لكي يكرمه وين,0,0,0,1,0,0,0,0,0,0,0
من جمال تويتر انو ادخل الوقت اللي ابيه واغرد باللي ابيه وم في احد يعرفني ولله الحمد مرتاحه 😎 😂 🌚 💔,0,0,0,0,1,1,0,0,0,0,0
كم هو مؤلم ان تسير الحياه علي هذا النحو العادي بدون امي يتخيل لي وجهها في كل مره اشعر بقسوه الحياه علي ان اشد مراره تشعر بها هي فقدان الام,0,0,0,0,0,0,0,0,1,0,0
الهيبه نادين نسيب نجيم ملكه الهيبه ايواااا راحت عليكي يا عليا بلش الفلم معك اسا بدن يحطوها تحت الامر الواقع 😦,1,0,0,0,0,0,0,0,0,0,0
اتجنب الشخص المسبب لغضبي وابتعد لما اهدا بس اذا لاصق فيني يتحمل غضبي ولايحاسبني بعدين شتسوي وقت العصبيه,1,0,0,0,0,0,0,0,0,0,0
مو كل بنت تقدر ترفع دعوي فيه بنات يكونون تحت ضغط وترهيب فضيع ماتقدر تتصرف اي تصرف والا يعنفونها الموضوع يقهر,1,0,0,0,0,0,0,0,0,0,0
يلي مفكر حالو فهمان وعامل فيها امني لفصيله ونازل ترعيب و ترهيب و طحش و مداهمات بحب قلك انك علي نهج الشبيحه القرون اشرف الك 😊,1,0,1,0,0,0,0,0,0,0,0
كمان دقايق و هشتم المدير بابشع الالفاظ 😡,1,0,0,0,0,0,0,0,0,0,0
· بتكبرين ياللي من رضا الايام جيتي يوم ميلادك فرحه عمر مو تاريخ عابر 💙,0,0,0,0,1,1,0,0,0,0,0
تعبت من التوتر اتمني انام واصحي بعد ماتنتهي و اشوف الثانيه عشر رافعها راموس,0,0,0,1,0,0,0,0,1,0,0
مناره الحدباء هذا العمل يدل ان لا ثوره عشائر كانت ولاشي وهذا التهديم وصمت عار بجبين من ادخل داعش وصفق له يذكره التاريخ للحشر والله جبناء,1,0,1,0,0,0,0,0,0,0,0
تتذمر شنو انت حقو تتجلد جلده في نص السوق العربي الساعه ظهراً,1,0,0,0,0,0,0,0,0,0,0
بعض الاغاني تدخل القلب وتبعثر كل مافيه وتصعد العقل وتبحث فيه عن الذكري المرتبطه بهذه الكلمات فيبدا يخيم علي صاحبها السكوون والمصحوب بتنهيده,0,0,0,0,1,0,0,0,1,0,0
ضريبه علي العربيات اللي فوق ال ١٠٠ الف هو في عربيات باقل من كده يا بهيم بعد ما غرقتوا الجنيه ,1,0,0,0,0,0,0,1,0,0,0
اكتشفتا انو عندي فوبيا الثقوب 😢😭,0,0,0,1,0,0,0,0,0,0,0
التعدد ما هو الا خيانه للزوجه باسم الدين و بدون اي تانيب ضمير و اي رجل يلقب زوجته بالبرميل فلا يستحق اهتمام اي امراه,1,0,1,0,0,0,0,0,1,0,0
اتمني لك احلام سعيده فيني❤️,0,0,0,0,1,1,1,0,0,0,0
اف اف شو صاير بالخليج 😦ليش هيك هالتوتر والله اني ما عم اعرف شي من هالدنيا الا الكتب و الامتحانات 😑,1,1,0,0,0,0,0,0,1,0,0
يابنتي انتي المفروض تحتفلي بيا وتفرحيني وتعمليلي مفاجاه ده انا عيدميلادي قرب خالص وانتي عارفه اني مكتئبه 💔,0,1,0,0,1,1,0,0,1,0,0
كميه احساس وطرب زي السياره لما تعبيها فل 😍 ❤,0,0,0,0,1,1,1,0,0,0,0
وعليك السلام وصدقت فيما قلت ولكن هذا الشخص سخر حسابه لشتم والسب في كل من ينتمي لنادي الهلال وهذا سبب ردي عليه,1,0,1,0,0,0,0,0,0,0,0
قبيله حرب والله ان غضبي عليهم غضب الله علي بليس,1,0,0,0,0,0,0,1,0,0,0
هاذا مو انتقام وبس انتي قضيتي علي,1,0,1,0,0,0,0,0,1,0,0
طمني عليك اذا حسيت باي اذي بتلقلتي مع قلبك اذا بكي,0,0,0,0,0,1,0,0,1,0,0
يستفزوني الاشخاص اللي بتويتر ماخذين وضعيه احنا الوحيدين اللي محد يعجبنا وهم بالواقع خاتمين المجتمع يعني ما فهمت ليش اثاره الشفقه هذي,1,0,1,0,0,0,0,0,0,0,0
بحكي لك عجز شفت خوف انسانه حقيقيه علي امها الجده قد خوفي عليك لهالحظه هزني الموقف وكنت اضعف من انّي امسح دمعتها او الملم انكساري,0,0,0,1,0,0,0,0,1,0,0
😂😂😂😂 منبسطه ع شو يا عالم يا ناس ايش صايرلكم لا دين صح ولا حياه صح استغفرالله بس الله يجيرنا من الاخره,1,0,0,0,0,0,0,0,0,0,0
كل ماجيت اعتني في نفسي الموجوعه سببت في صدري الاحزان صوت وزحمه جعل ماجاني علي دنيا الشقا من لوعه تحتسب في الاخره تخفيف ذنب ورحمه,0,0,0,0,0,0,0,1,1,0,0
عن الليالي السود المخيفه كنت الاشراق السريع مدحضه كل ذعر قاتله كل نوبه ذعر ابدا لن انسي ذلك يا طهر هذه الارض و ركازها,0,0,0,1,0,0,0,0,1,0,0
ايه رايكم في الحيوانات اللي غضبوا علي هزيمه مصر من تونس وما تحرك لهم جفن علي بيع الجزيرتين والخيانات اللي بتم في العلن والخفاء,1,0,1,0,0,0,0,0,0,0,0
احتفالات عيد الرياض مو حلو عيدكم حنا احلا 🙄,0,0,0,0,1,0,1,0,0,0,0
⁦مرحبا انتي جميله وهناك شخص يحبك كوني سعيده دائما لان عيناك مذهله عندما تبتسمين 💘,0,0,0,0,1,1,1,0,0,0,0
صحيت من النوم فايق و مفيش حاجه معكره مزاجي قولت ازاي دا يبقي عيب حتي والله فتحت ال القديمه قريت فيها شويه و الحمد لله بقيت زالزفت تاني,1,0,0,0,0,0,0,1,1,0,0
الحمد لله ربنا يبقي يشلهم فه اديهم اﻻرهابيين واللي بيمولهم كمان يا قتله المسلمين في كل مكان,1,1,1,1,0,0,0,1,1,0,0
غاضب لدرجه افجر رحمك,1,0,0,0,0,0,0,0,0,0,0
ارغب بالهروب بعيدا ارغب بان اعيش تحت ضوء القمر لا شمس ولا اصوات ضجر ارغب بالابتعاد عن ذاتي وعن تفكيري المستمر الي هناك الي اللامفر,1,0,1,0,0,0,0,0,1,0,0
ميلاد الدعاء من قالها بيقين فرج الله كربه باذنه وشافاه وعافاه بل ورزقه من حيث لايحتسب وابتلاء الله تعالي للعبد ماهو الا حب ورحمه,0,0,0,0,0,1,1,0,0,0,0
الله يكفينا شر الغدرات,0,0,0,0,0,0,0,0,1,0,0
بشار الاسد يا ويلي علي ذبحته 😡,1,0,0,1,0,0,0,1,1,0,0
لم يخطر ان يوما نشكو منهم ونردد بين الانفاس لعلهم خيرهه صديق احباب اصحاب عتاب حزن غالي شعوري الحين يقول ضيق رمضان الفقد قصيد,1,0,0,0,0,0,0,0,1,0,0
لو اجتمعو ع ان يضروك بشيء لن يضروك الا بشيء قد كتبه الله لك 😍 اطمئنان,0,0,0,0,0,1,1,0,0,0,1
عوده اخطر معلمين في العالم وعليكم السلام ايوه صباح الانشكاح,0,1,0,0,1,0,1,0,0,0,0
لكبرياء ﺎن تبتسم وبداخلك عزاء,0,0,0,0,1,0,1,0,1,0,1
بعض الدول نكست اعلامها تضامنا مع مصر وضحايا المنيا وبعضهم اعلن الحداد الا يوجد في مصر من يتضامن مع مصر ويقول لفضائياتها عيب ,1,0,1,0,0,0,0,0,0,0,0
يقولون ابحث عن فضولي الحقيقه ابحث عن مجنس في اي مشكله شجار الرفاع,1,0,1,0,0,0,0,1,0,0,0
السعاده كن مع الله ولا تحسد احدا ولا تحقد وعش ببساطه مهما علا شانك توقع خيرا مهما كثر البلاء وتعلم العطاء ولا تنتظر الرد,0,0,0,0,1,1,1,0,0,0,0
انا قايمه علي كابوس ابن جزمه و كذا يوم كوابيس كوابيس و قلبي واجعني و فيه اضطراب 😣 😣 بكره الكوابيس بكرهها 😖 😨,1,0,0,1,0,0,0,1,1,0,0
غرابييب سود لم اتابعه لكن اري الكثير ناقمين عليه ودي اتابعه علي شان انقده عمومًا انا لا اثق في ,1,0,1,0,0,0,0,1,0,0,0
بينما نحن مطحونين في حر القاهره ونيلها وزحمتها غيرنا بيلهو ع البحر وبيصنع المجد وبيشمم فخاده هوا,1,1,1,0,0,0,0,1,1,0,0
المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه 😬,0,0,0,1,0,0,0,0,1,0,0
ياجدعان انا مش عاوز حد يزعل مني وانا مش زعلان من اي حد مهم كان الاامر,0,0,0,0,0,1,1,0,0,0,0
صارلي شي ميه سنه مشلوحه بهالدكان ضجرت مني الحيطان و مستحيه تقول القعده في الاوضه بين الكتب و الملازم,1,0,0,0,0,0,0,1,1,0,0
يعني عماره الازاريطه دي مصيبه و كارثه و ناس دلوقتي قاعده في الشارع متشرده مش مجال للسف نهائي و الله بقينا شعب جبلات فشخ,1,0,1,0,0,0,0,0,1,0,0
دون ان يصدر اي صوت حتي ان العجوز لم تشعر به طيله مكوثه في منزلها وبعد وقت لم يجد شي يسرق ف استشاط غضب ودخل الي غرفه العجوز النائمه,0,0,0,0,0,0,0,0,0,0,0
نمت علي مكتبي حلمت وقمت مرتاعه 😣 زين ماقمت اركض 🙂,0,0,0,1,0,0,0,0,0,0,0
يتم صرف المليارات ع كره فارغهتركل بالرجل ويثورون غضبا لها ولايهمهم من نام في بلادهم جائع ويتفاخرون بقهر النساء انه الموقع الجغرافي الملعون,1,0,1,0,0,0,0,1,1,0,0
الخير ف اللي ربنا كاتبه يا احمد 😄,0,0,0,0,0,1,1,0,0,0,1
الناس مبقاش في قلبها رحمه ولا انسانيه يعني ايه واحد يخبط واحد علي البحر يروح مكمل عليه و ماشي وسايبه هو ده انسان بجد ربنا ينتقم منه,1,0,1,0,0,0,0,0,1,0,0
كما يتسبب استخدام دبه الصوت او الهيدرز في ازعاج الاخرين في الطريق العام او الاحياء السكنيه او دور العباده وغيرها الداخليه قطر,1,0,0,0,0,0,0,0,0,0,0
لما اتكلم مع حد في خططي و احلامي و طموحاتي و الاقيه مش فاهم خطوره الموقف و مش بيتكلم بجديه بشيل منه العمر كله 😅,1,0,0,0,0,0,0,1,1,0,0
ولقد وضعت اصبعك علي جرح نازف للامه يجعلها بما تملك من قدرات اسيره ملك او امير هرم لا يجيد الا الرقص بالسيف المرتجف بيده,1,0,0,0,0,0,0,0,1,0,0
عندي حالت لامبالاه ولا كان عندي فاينل كمان يومين😥,0,0,1,1,0,0,0,1,1,0,0
اللهم ارزقها سعاده لاتنتهي وراحه بال لاتنجلي واغمر قلبهاا فرحاا وروحها سكينه وحقق لها كل ماتتمني وبارك لها فيه 🙏 🙏 🌙,0,0,0,0,1,1,1,0,0,0,0
ابحث عن جميع مشكله بالوطن العربي من تاسيس حزبهم العفن لازم اهم فالمشكله الاخوان المفلسين مايخلون طبع كورد اوغلو,1,0,1,0,0,0,0,0,0,0,0
خلاص يا متخلفين اللي مايبي الجزيره يشفرها بكل بساطه مثل ماشفرتو قنوات لكن تخافون من الحق رعب خوف بكاء ارفض اغلاق الجزيره,1,0,0,1,0,0,0,0,1,0,0
مصيبه مصر في الخوف اللي ملا قلوب المصريين من بشر ومن اقل شئ ونسو ان الله هو مسبب الاسباب القادر علي كل شئ,1,0,0,1,0,0,0,0,1,0,0
ميفيد الحكومه جبانه واحد يخاف من الثاني الكل مكشوفين امام الاخرين بالفساد اخلاقي والاجتماعي,1,0,0,0,0,0,0,0,0,0,0
الفتاه المحتشمه فخر لابويها عز لاخوتها كنز لزوجها خير قدوه لاولادها فكوني محتشمه ايتها المسلمه لكي تسعدي من حولك اختاه حجابك ستر وعفاف,0,0,0,0,1,1,1,0,0,0,1
مش عارف ازاي بتستحملو تقفوا مع بعض وتتصورو وتاكلو وتروحو وتيجو وانتو كل واحد فيكم شايل للتاني ضغينه وخبث وحوارات وحاجه قرف نضفوها من جوا 💀 🚬,1,0,0,0,0,0,0,0,0,0,0
الفرحه انك تعرف ان ربنا راضي عنك وميكنش غاضب عليك ❤,0,0,0,0,1,0,1,0,0,0,0
حزين ولست حزين علي حزني انني افخر بهذا الحزن الذي يملئ صدري افخر لانه الهديه الاخيره التي بقيت لي بعد الراحلين ,0,0,0,0,0,0,0,0,1,0,0
ربي ادخل شهر رمضان علينا وانت راضي عنا واجعله شهرا تتبدل فيه ذنوبنا الي حسنات وهمومنا الي افراح واحلامنا الي واقع يارب العالمين,0,0,0,0,1,1,1,0,0,0,0
بقيتي عِنِفه اووي كده ليه لو خدتي بالك التوتس كلها كابه 👊😂 لا فرفشي كده احنا داخلين ع فاينالز و مش ملاحقين 😂😂✋,0,0,0,0,1,0,1,1,0,0,0
انت مين انت يا رامز علشان تهزر مع شاروخان وتهزءوا بالشكل دا 😏😏😏😏😡😡,1,0,1,0,0,0,0,0,0,0,0
محاوله السعوديه والامارات ترهيب شعوبهم بالسجن هي محاوله للجم الاراء الحره المعارضه لحصار قطر ودليل علي ان هذه الشريحه هي الاغلب ,1,0,1,0,0,0,0,1,0,0,0
اسوا ما في الاعتذار ارتباك كلماتك اثناء التحدث واجمل ما فيه شجاعتك علي المبادره وهزيمتك لكبرياء يمنعك من تقديمه,0,0,0,0,1,0,0,0,0,0,0
