,ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,text,processPost_text,tokens,stop_words_free,disambiguated,dediacritized
10,2018-Ar-02080,ثانيه واحده بس كدا .. يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج 5 دقايق ع بعض ..,False,False,False,True,False,False,False,False,False,False,False,ثانيه واحده بس كدا .. يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج 5 دقايق ع بعض ..,ثانيه واحده بس كدا يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج دقايق ع بعض ,"['ثانيه', 'واحده', 'بس', 'كدا', 'يعني', 'افلام', 'الرعب', 'اللي', 'طول', 'عمري', 'اتفرج', 'عليهم', 'عادي', 'بالنسبالي', 'وكفر', 'دلهاب', 'مرعوبه', 'اتفرج', 'دقايق', 'ع', 'بعض']","['ثانيه', 'واحده', 'كدا', 'يعني', 'افلام', 'الرعب', 'اللي', 'طول', 'عمري', 'اتفرج', 'عليهم', 'عادي', 'بالنسبالي', 'وكفر', 'دلهاب', 'مرعوبه', 'اتفرج', 'دقايق']","['ثانِي', 'واحِد', 'كَدّ', 'عَنَّى', 'فِيلْم', 'رُعْب', 'لَيّ', 'طُول', 'عُمْر', 'تَفَرَّج', 'عَلِيّ', 'عادِي', 'بالنسبالي', 'كُفْر', 'دلهاب', 'مَرْعُوب', 'تَفَرَّج', 'دقايق']","['ثاني', 'واحد', 'كد', 'عنى', 'فيلم', 'رعب', 'لي', 'طول', 'عمر', 'تفرج', 'علي', 'عادي', 'بالنسبالي', 'كفر', 'دلهاب', 'مرعوب', 'تفرج', 'دقايق']"
11,2018-Ar-01083,غلطة ياسر المسيليم طبيعية جدا ومتوقعة من لاعب اقدامه مرتجفة \n\nولكن \nكيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس؟,True,True,False,True,False,False,False,False,False,False,False,غلطة ياسر المسيليم طبيعية جدا ومتوقعة من لاعب اقدامه مرتجفة \n\nولكن \nكيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس؟,غلطه ياسر المسيليم طبيعيه جدا ومتوقعه من لاعب اقدامه مرتجفه ولكن كيف ضم الزوري المبتعد عن المباريات وتحجج بالابتعاد عشان يزحلق العويس,"['غلطه', 'ياسر', 'المسيليم', 'طبيعيه', 'جدا', 'ومتوقعه', 'من', 'لاعب', 'اقدامه', 'مرتجفه', 'ولكن', 'كيف', 'ضم', 'الزوري', 'المبتعد', 'عن', 'المباريات', 'وتحجج', 'بالابتعاد', 'عشان', 'يزحلق', 'العويس']","['غلطه', 'ياسر', 'المسيليم', 'طبيعيه', 'جدا', 'ومتوقعه', 'لاعب', 'اقدامه', 'مرتجفه', 'ضم', 'الزوري', 'المبتعد', 'المباريات', 'وتحجج', 'بالابتعاد', 'عشان', 'يزحلق', 'العويس']","['غَلْطَة', 'ياسِر', 'المسيليم', 'طَبِيعِيّ', 'جَدّ', 'مُتَوَقِّع', 'لاعَب', 'قَدَم', 'مرتجفه', 'ضَمّ', 'الزوري', 'المبتعد', 'مُباراة', 'تَحَجُّج', 'ٱِبْتِعاد', 'عُشّ', 'زَحْلَق', 'عُوَيْس']","['غلطة', 'ياسر', 'المسيليم', 'طبيعي', 'جد', 'متوقع', 'لاعب', 'قدم', 'مرتجفه', 'ضم', 'الزوري', 'المبتعد', 'مباراة', 'تحجج', 'ٱبتعاد', 'عش', 'زحلق', 'عويس']"
12,2018-Ar-01747,انا غاضبة ورائحة افواه الصائمين تزيد من غضبي اكثر #قرف,True,False,True,False,False,False,False,False,False,False,False,انا غاضبة ورائحة افواه الصائمين تزيد من غضبي اكثر #قرف,انا غاضبه ورائحه افواه الصائمين تزيد من غضبي اكثر قرف,"['انا', 'غاضبه', 'ورائحه', 'افواه', 'الصائمين', 'تزيد', 'من', 'غضبي', 'اكثر', 'قرف']","['انا', 'غاضبه', 'ورائحه', 'افواه', 'الصائمين', 'تزيد', 'غضبي', 'اكثر', 'قرف']","['آن', 'غاضِب', 'رائِحَة', 'فُوه', 'صائِم', 'تَزَيُّد', 'غَضَب', 'أَكْثَر', 'قَرِف']","['آن', 'غاضب', 'رائحة', 'فوه', 'صائم', 'تزيد', 'غضب', 'أكثر', 'قرف']"
13,2018-Ar-02489,عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطأ في بطنه وبطن عبودي,True,False,False,False,False,False,False,True,False,False,False,عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطأ في بطنه وبطن عبودي,عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطا في بطنه وبطن عبودي,"['عبودي', 'رافع', 'ضغطي', 'عندنا', 'ولد', 'جار', 'يشبه', 'عبودي', 'ودي', 'اتوطا', 'في', 'بطنه', 'وبطن', 'عبودي']","['عبودي', 'رافع', 'ضغطي', 'عندنا', 'ولد', 'جار', 'يشبه', 'عبودي', 'ودي', 'اتوطا', 'بطنه', 'وبطن', 'عبودي']","['عَبُّودِيّ', 'رافَع', 'أُضْغُط', 'عِنْد', 'وَلَد', 'جار', 'يَشْب', 'عَبُّودِيّ', 'وُدّ', 'اتوطا', 'بَطَن', 'بَطَن', 'عَبُّودِيّ']","['عبودي', 'رافع', 'أضغط', 'عند', 'ولد', 'جار', 'يشب', 'عبودي', 'ود', 'اتوطا', 'بطن', 'بطن', 'عبودي']"
14,2018-Ar-03809,اعلان 500500 مبهج جداا بس ليه لميس,False,False,False,False,True,True,True,False,False,True,False,اعلان 500500 مبهج جداا بس ليه لميس,اعلان مبهج جداا بس ليه لميس,"['اعلان', 'مبهج', 'جداا', 'بس', 'ليه', 'لميس']","['اعلان', 'مبهج', 'جداا', 'ليه', 'لميس']","['إِعْلان', 'مُبْهِج', 'جداا', 'لَيّ', 'لَمِيس']","['إعلان', 'مبهج', 'جداا', 'لي', 'لميس']"
15,2018-Ar-02338,❗\n\nفي مصر :- احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل !🐸✋\n\n❕ - يشعر بـالاستياء,True,False,True,False,False,False,False,True,False,False,False, ‫علامة تعجب \n\nفي مصر :- احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل ! وجه ضفدع يد مرفوعة \n\n ‫علامة تعجب بيضاء - يشعر بـالاستياء,‫علامه تعجب في مصر احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل وجه ضفدع يد مرفوعه ‫علامه تعجب بيضاء يشعر بالاستياء,"['علامه', 'تعجب', 'في', 'مصر', 'احنا', 'بنشتغل', 'عشان', 'نجيب', 'فلوس', 'نروح', 'بيها', 'الشغل', 'وجه', 'ضفدع', 'يد', 'مرفوعه', 'علامه', 'تعجب', 'بيضاء', 'يشعر', 'بالاستياء']","['علامه', 'تعجب', 'مصر', 'احنا', 'بنشتغل', 'عشان', 'نجيب', 'فلوس', 'نروح', 'بيها', 'الشغل', 'وجه', 'ضفدع', 'يد', 'مرفوعه', 'علامه', 'تعجب', 'بيضاء', 'يشعر', 'بالاستياء']","['عَلامَة', 'تَعَجُّب', 'مُصِرّ', 'أَحّ', 'بنشتغل', 'عُشّ', 'نَجِيب', 'فِلْس', 'راح', 'بَك', 'شُغْل', 'وَجَّه', 'ضَفْدَع', 'يَد', 'مَرْفُوع', 'عَلامَة', 'تَعَجُّب', 'أَبْيَض', 'أَشْعَر', 'ٱِسْتِياء']","['علامة', 'تعجب', 'مصر', 'أح', 'بنشتغل', 'عش', 'نجيب', 'فلس', 'راح', 'بك', 'شغل', 'وجه', 'ضفدع', 'يد', 'مرفوع', 'علامة', 'تعجب', 'أبيض', 'أشعر', 'ٱستياء']"
16,2018-Ar-02635,الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب,False,False,False,False,True,True,True,False,False,False,False,الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب,الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب,"['الحمدلله', 'اذا', 'حسيت', 'اني', 'مرضيه', 'ربي', 'احس', 'بسعاده', 'داخليه', 'ليت', 'اللذي', 'بيني', 'وبين', 'الله', 'عامر', 'واالذي', 'بيني', 'وبين', 'الناس', 'خراب']","['الحمدلله', 'اذا', 'حسيت', 'اني', 'مرضيه', 'ربي', 'احس', 'بسعاده', 'داخليه', 'اللذي', 'بيني', 'وبين', 'الله', 'عامر', 'واالذي', 'بيني', 'وبين', 'الناس', 'خراب']","['الحمدلله', 'إِذاً', 'حسيت', 'آن', 'مَرَض', 'رَبّ', 'أَحَسّ', 'سَعادَة', 'داخِلِيّ', 'لَذَى', 'بَيْنَ', 'بَيْنَ', 'اللَّه', 'عامِر', 'واالذي', 'بَيْنَ', 'بَيْنَ', 'ناس', 'خَراب']","['الحمدلله', 'إذا', 'حسيت', 'آن', 'مرض', 'رب', 'أحس', 'سعادة', 'داخلي', 'لذى', 'بين', 'بين', 'الله', 'عامر', 'واالذي', 'بين', 'بين', 'ناس', 'خراب']"
17,2018-Ar-03712,@nowaaaash ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتى انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفى تماما,False,False,False,False,False,False,True,False,False,False,True,@nowaaaash ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتى انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفى تماما,ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتي انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفي تماما,"['ليش', 'وسواس', 'تعوذي', 'من', 'الشيطان', 'واكثري', 'من', 'الاستغفار', 'حتي', 'انا', 'يجيني', 'بس', 'لاني', 'انشغلت', 'في', 'علوم', 'القران', 'والدراسه', 'سبحان', 'الله', 'اختفي', 'تماما']","['ليش', 'وسواس', 'تعوذي', 'الشيطان', 'واكثري', 'الاستغفار', 'حتي', 'انا', 'يجيني', 'لاني', 'انشغلت', 'علوم', 'القران', 'والدراسه', 'الله', 'اختفي', 'تماما']","['ليش', 'وَسْواس', 'عاذ', 'شَيْطان', 'أَكْثَر', 'ٱِسْتِغْفار', 'حَتَّى', 'آن', 'يجيني', 'أَنَّ', 'ٱِنْشَغَل', 'عِلْم', 'قُرْآن', 'دَرّاس', 'اللَّه', 'ٱِخْتَفَى', 'تَمام']","['ليش', 'وسواس', 'عاذ', 'شيطان', 'أكثر', 'ٱستغفار', 'حتى', 'آن', 'يجيني', 'أن', 'ٱنشغل', 'علم', 'قرآن', 'دراس', 'الله', 'ٱختفى', 'تمام']"
18,2018-Ar-01771,واحدة بعربية bm عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعدة مذعورة و بتتأسف و تقول سرحت .. سيبتها و مشيت 😑,True,False,False,False,False,False,False,False,False,False,False,واحدة بعربية bm عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعدة مذعورة و بتتأسف و تقول سرحت .. سيبتها و مشيت وجه بدون تعبير ,واحده بعربيه عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعده مذعوره و بتتاسف و تقول سرحت سيبتها و مشيت وجه بدون تعبير,"['واحده', 'بعربيه', 'عالاذان', 'بالضبط', 'خبطتني', 'من', 'ورا', 'نزلت', 'مخضوض', 'اتخانق', 'و', 'اشتم', 'لقيتها', 'قعده', 'مذعوره', 'و', 'بتتاسف', 'و', 'تقول', 'سرحت', 'سيبتها', 'و', 'مشيت', 'وجه', 'بدون', 'تعبير']","['واحده', 'بعربيه', 'عالاذان', 'بالضبط', 'خبطتني', 'ورا', 'نزلت', 'مخضوض', 'اتخانق', 'اشتم', 'لقيتها', 'قعده', 'مذعوره', 'بتتاسف', 'تقول', 'سرحت', 'سيبتها', 'مشيت', 'وجه', 'بدون', 'تعبير']","['واحِد', 'عَرَبِيّ', 'عالاذان', 'ضَبْط', 'خَبَط', 'ورا', 'نَزَّل', 'مخضوض', 'تَخانَق', 'ٱِشْتَمّ', 'لُقْيا', 'قُعَدَة', 'مذعوره', 'بتتاسف', 'تَقَوُّل', 'سَرَح', 'سَيَّب', 'مَشَى', 'وَجَّه', 'بَدا', 'تَعْبِير']","['واحد', 'عربي', 'عالاذان', 'ضبط', 'خبط', 'ورا', 'نزل', 'مخضوض', 'تخانق', 'ٱشتم', 'لقيا', 'قعدة', 'مذعوره', 'بتتاسف', 'تقول', 'سرح', 'سيب', 'مشى', 'وجه', 'بدا', 'تعبير']"
19,2018-Ar-03261,لحظة #صبر في لحظة #غضب تمنع ألف لحظة #ندم,True,False,False,False,False,False,True,False,False,False,True,لحظة #صبر في لحظة #غضب تمنع ألف لحظة #ندم,لحظه صبر في لحظه غضب تمنع الف لحظه ندم,"['لحظه', 'صبر', 'في', 'لحظه', 'غضب', 'تمنع', 'الف', 'لحظه', 'ندم']","['لحظه', 'لحظه', 'غضب', 'تمنع', 'الف', 'لحظه', 'ندم']","['لَحْظَة', 'لَحْظَة', 'غَضِب', 'تَمَنُّع', 'أَلِف', 'لَحْظَة', 'نَدِم']","['لحظة', 'لحظة', 'غضب', 'تمنع', 'ألف', 'لحظة', 'ندم']"
